date,borough,mode,rides
2024-09-01,Camden,Tube,80
2024-09-02,Camden,Tube,97
2024-09-03,Camden,Tube,88
2024-09-04,Camden,Tube,104
2024-09-05,Camden,Tube,98
2024-09-06,Camden,Tube,104
2024-09-07,Camden,Tube,67
2024-09-08,Camden,Tube,75
2024-09-09,Camden,Tube,83
2024-09-10,Camden,Tube,104
2024-09-11,Camden,Tube,100
2024-09-12,Camden,Tube,86
2024-09-13,Camden,Tube,87
2024-09-14,Camden,Tube,75
2024-09-15,Camden,Tube,83
2024-09-16,Camden,Tube,98
2024-09-17,Camden,Tube,100
2024-09-18,Camden,Tube,104
2024-09-19,Camden,Tube,101
2024-09-20,Camden,Tube,88
2024-09-21,Camden,Tube,81
2024-09-22,Camden,Tube,65
2024-09-23,Camden,Tube,91
2024-09-24,Camden,Tube,104
2024-09-25,Camden,Tube,107
2024-09-26,Camden,Tube,98
2024-09-27,Camden,Tube,92
2024-09-28,Camden,Tube,75
2024-09-29,Camden,Tube,77
2024-09-30,Camden,Tube,104
2024-10-01,Camden,Tube,101
2024-10-02,Camden,Tube,97
2024-10-03,Camden,Tube,108
2024-10-04,Camden,Tube,100
2024-10-05,Camden,Tube,76
2024-10-06,Camden,Tube,77
2024-10-07,Camden,Tube,101
2024-10-08,Camden,Tube,109
2024-10-09,Camden,Tube,111
2024-10-10,Camden,Tube,113
2024-10-11,Camden,Tube,94
2024-10-12,Camden,Tube,79
2024-10-13,Camden,Tube,67
2024-10-14,Camden,Tube,115
2024-10-15,Camden,Tube,97
2024-10-16,Camden,Tube,109
2024-10-17,Camden,Tube,104
2024-10-18,Camden,Tube,108
2024-10-19,Camden,Tube,83
2024-10-20,Camden,Tube,78
2024-10-21,Camden,Tube,110
2024-10-22,Camden,Tube,115
2024-10-23,Camden,Tube,115
2024-10-24,Camden,Tube,109
2024-10-25,Camden,Tube,101
2024-10-26,Camden,Tube,79
2024-10-27,Camden,Tube,75
2024-10-28,Camden,Tube,112
2024-10-29,Camden,Tube,123
2024-10-30,Camden,Tube,126
2024-10-31,Camden,Tube,95
2024-11-01,Camden,Tube,120
2024-11-02,Camden,Tube,96
2024-11-03,Camden,Tube,83
2024-11-04,Camden,Tube,97
2024-11-05,Camden,Tube,129
2024-11-06,Camden,Tube,113
2024-11-07,Camden,Tube,113
2024-11-08,Camden,Tube,117
2024-11-09,Camden,Tube,78
2024-11-10,Camden,Tube,85
2024-11-11,Camden,Tube,129
2024-11-12,Camden,Tube,110
2024-11-13,Camden,Tube,117
2024-11-14,Camden,Tube,110
2024-11-15,Camden,Tube,106
2024-11-16,Camden,Tube,79
2024-11-17,Camden,Tube,70
2024-11-18,Camden,Tube,122
2024-11-19,Camden,Tube,94
2024-11-20,Camden,Tube,121
2024-11-21,Camden,Tube,123
2024-11-22,Camden,Tube,128
2024-11-23,Camden,Tube,86
2024-11-24,Camden,Tube,90
2024-11-25,Camden,Tube,105
2024-11-26,Camden,Tube,99
2024-11-27,Camden,Tube,127
2024-11-28,Camden,Tube,113
2024-11-29,Camden,Tube,104
2024-11-30,Camden,Tube,77
2024-12-01,Camden,Tube,79
2024-12-02,Camden,Tube,117
2024-12-03,Camden,Tube,133
2024-12-04,Camden,Tube,118
2024-12-05,Camden,Tube,114
2024-12-06,Camden,Tube,135
2024-12-07,Camden,Tube,92
2024-12-08,Camden,Tube,87
2024-12-09,Camden,Tube,110
2024-12-10,Camden,Tube,115
2024-12-11,Camden,Tube,105
2024-12-12,Camden,Tube,114
2024-12-13,Camden,Tube,115
2024-12-14,Camden,Tube,82
2024-12-15,Camden,Tube,89
2024-12-16,Camden,Tube,116
2024-12-17,Camden,Tube,101
2024-12-18,Camden,Tube,108
2024-12-19,Camden,Tube,105
2024-12-20,Camden,Tube,99
2024-12-21,Camden,Tube,86
2024-12-22,Camden,Tube,79
2024-12-23,Camden,Tube,110
2024-12-24,Camden,Tube,133
2024-12-25,Camden,Tube,117
2024-12-26,Camden,Tube,109
2024-12-27,Camden,Tube,120
2024-12-28,Camden,Tube,83
2024-12-29,Camden,Tube,73
2024-12-30,Camden,Tube,107
2024-12-31,Camden,Tube,105
2025-01-01,Camden,Tube,101
2025-01-02,Camden,Tube,105
2025-01-03,Camden,Tube,113
2025-01-04,Camden,Tube,75
2025-01-05,Camden,Tube,79
2025-01-06,Camden,Tube,117
2025-01-07,Camden,Tube,108
2025-01-08,Camden,Tube,107
2025-01-09,Camden,Tube,106
2025-01-10,Camden,Tube,102
2025-01-11,Camden,Tube,79
2025-01-12,Camden,Tube,74
2025-01-13,Camden,Tube,108
2025-01-14,Camden,Tube,112
2025-01-15,Camden,Tube,91
2025-01-16,Camden,Tube,102
2025-01-17,Camden,Tube,102
2025-01-18,Camden,Tube,76
2025-01-19,Camden,Tube,85
2025-01-20,Camden,Tube,101
2025-01-21,Camden,Tube,103
2025-01-22,Camden,Tube,91
2025-01-23,Camden,Tube,105
2025-01-24,Camden,Tube,97
2025-01-25,Camden,Tube,70
2025-01-26,Camden,Tube,82
2025-01-27,Camden,Tube,120
2025-01-28,Camden,Tube,103
2025-01-29,Camden,Tube,109
2025-01-30,Camden,Tube,107
2025-01-31,Camden,Tube,109
2025-02-01,Camden,Tube,77
2025-02-02,Camden,Tube,69
2025-02-03,Camden,Tube,109
2025-02-04,Camden,Tube,115
2025-02-05,Camden,Tube,117
2025-02-06,Camden,Tube,90
2025-02-07,Camden,Tube,95
2025-02-08,Camden,Tube,76
2025-02-09,Camden,Tube,69
2025-02-10,Camden,Tube,105
2025-02-11,Camden,Tube,99
2025-02-12,Camden,Tube,99
2025-02-13,Camden,Tube,103
2025-02-14,Camden,Tube,86
2025-02-15,Camden,Tube,82
2025-02-16,Camden,Tube,84
2025-02-17,Camden,Tube,105
2025-02-18,Camden,Tube,97
2025-02-19,Camden,Tube,88
2025-02-20,Camden,Tube,89
2025-02-21,Camden,Tube,90
2025-02-22,Camden,Tube,74
2025-02-23,Camden,Tube,75
2025-02-24,Camden,Tube,104
2025-02-25,Camden,Tube,87
2025-02-26,Camden,Tube,106
2025-02-27,Camden,Tube,98
2025-02-28,Camden,Tube,95
2025-03-01,Camden,Tube,65
2025-03-02,Camden,Tube,72
2025-03-03,Camden,Tube,94
2025-03-04,Camden,Tube,95
2025-03-05,Camden,Tube,92
2025-03-06,Camden,Tube,89
2025-03-07,Camden,Tube,86
2025-03-08,Camden,Tube,69
2025-03-09,Camden,Tube,72
2025-03-10,Camden,Tube,98
2025-03-11,Camden,Tube,87
2025-03-12,Camden,Tube,85
2025-03-13,Camden,Tube,88
2025-03-14,Camden,Tube,89
2025-03-15,Camden,Tube,66
2025-03-16,Camden,Tube,64
2025-03-17,Camden,Tube,107
2025-03-18,Camden,Tube,83
2025-03-19,Camden,Tube,87
2025-03-20,Camden,Tube,84
2025-03-21,Camden,Tube,81
2025-03-22,Camden,Tube,63
2025-03-23,Camden,Tube,60
2025-03-24,Camden,Tube,95
2025-03-25,Camden,Tube,88
2025-03-26,Camden,Tube,91
2025-03-27,Camden,Tube,82
2025-03-28,Camden,Tube,91
2025-03-29,Camden,Tube,77
2025-03-30,Camden,Tube,53
2025-03-31,Camden,Tube,96
2025-04-01,Camden,Tube,73
2025-04-02,Camden,Tube,88
2025-04-03,Camden,Tube,99
2025-04-04,Camden,Tube,91
2025-04-05,Camden,Tube,61
2025-04-06,Camden,Tube,73
2025-04-07,Camden,Tube,81
2025-04-08,Camden,Tube,82
2025-04-09,Camden,Tube,85
2025-04-10,Camden,Tube,79
2025-04-11,Camden,Tube,77
2025-04-12,Camden,Tube,55
2025-04-13,Camden,Tube,63
2025-04-14,Camden,Tube,82
2025-04-15,Camden,Tube,84
2025-04-16,Camden,Tube,80
2025-04-17,Camden,Tube,71
2025-04-18,Camden,Tube,83
2025-04-19,Camden,Tube,53
