date,borough,station_id,rides_station
2024-09-01,Camden,Camden-S1,36
2024-09-01,Camden,Camden-S2,10
2024-09-01,Camden,Camden-S3,34
2024-09-02,Camden,Camden-S1,6
2024-09-02,Camden,Camden-S2,46
2024-09-02,Camden,Camden-S3,45
2024-09-03,Camden,Camden-S1,0
2024-09-03,Camden,Camden-S2,73
2024-09-03,Camden,Camden-S3,15
2024-09-04,Camden,Camden-S1,9
2024-09-04,Camden,Camden-S2,43
2024-09-04,Camden,Camden-S3,51
2024-09-05,Camden,Camden-S1,12
2024-09-05,Camden,Camden-S2,37
2024-09-05,Camden,Camden-S3,49
2024-09-06,Camden,Camden-S1,67
2024-09-06,Camden,Camden-S2,18
2024-09-06,Camden,Camden-S3,19
2024-09-07,Camden,Camden-S1,32
2024-09-07,Camden,Camden-S2,35
2024-09-07,Camden,Camden-S3,1
2024-09-08,Camden,Camden-S1,9
2024-09-08,Camden,Camden-S2,24
2024-09-08,Camden,Camden-S3,42
2024-09-09,Camden,Camden-S1,19
2024-09-09,Camden,Camden-S2,52
2024-09-09,Camden,Camden-S3,12
2024-09-10,Camden,Camden-S1,33
2024-09-10,Camden,Camden-S2,25
2024-09-10,Camden,Camden-S3,46
2024-09-11,Camden,Camden-S1,30
2024-09-11,Camden,Camden-S2,35
2024-09-11,Camden,Camden-S3,35
2024-09-12,Camden,Camden-S1,35
2024-09-12,Camden,Camden-S2,1
2024-09-12,Camden,Camden-S3,50
2024-09-13,Camden,Camden-S1,51
2024-09-13,Camden,Camden-S2,30
2024-09-13,Camden,Camden-S3,6
2024-09-14,Camden,Camden-S1,45
2024-09-14,Camden,Camden-S2,25
2024-09-14,Camden,Camden-S3,5
2024-09-15,Camden,Camden-S1,30
2024-09-15,Camden,Camden-S2,25
2024-09-15,Camden,Camden-S3,28
2024-09-16,Camden,Camden-S1,48
2024-09-16,Camden,Camden-S2,21
2024-09-16,Camden,Camden-S3,29
2024-09-17,Camden,Camden-S1,15
2024-09-17,Camden,Camden-S2,50
2024-09-17,Camden,Camden-S3,35
2024-09-18,Camden,Camden-S1,40
2024-09-18,Camden,Camden-S2,22
2024-09-18,Camden,Camden-S3,42
2024-09-19,Camden,Camden-S1,42
2024-09-19,Camden,Camden-S2,49
2024-09-19,Camden,Camden-S3,10
2024-09-20,Camden,Camden-S1,34
2024-09-20,Camden,Camden-S2,48
